Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Nigeria,6.354,1.587,45709.707,64.28,200.399,20.255,15.136,9.594,2.61,2.51,2.644,1.059,29.5,29.858,29.837,3
Norway,2.602,0.897,345.056,85.16,21.692,10.051,8.824,7.838,0.448,0.556,1.066,1.056,28.335,29.895,30.651,2
Oman,7.252,0.839,320.784,82.39,210.954,11.635,2.922,2.659,3.802,3.918,3.831,1.05,31.597,30.789,31.191,1
Pakistan,6.6,1.052,26454.882,69.07,255.655,13.084,8.024,6.905,3.1,2.633,2.054,1.086,29.946,29.352,28.034,3
Panama,5.764,0.953,392.874,81.76,85.695,5.929,4.87,5.432,2.149,2.065,1.795,1.05,28.263,26.683,27.267,1
Papua New Guinea,6.238,1.211,1270.914,66.74,149.986,12.442,7.412,7.119,2.561,2.528,2.367,1.08,30.36,29.777,29.865,3
Paraguay,6.5,0.915,659.996,74.32,73.434,6.907,5.602,6.321,2.753,2.442,1.381,1.05,30.058,28.321,28.352,1
Peru,6.95,0.881,2749.563,79.18,158.625,10.901,5.54,5.947,2.208,1.931,1.238,1.05,29.924,28.849,29.275,2
Philippines,7.42,1.05,12407.402,69.59,96.751,8.431,5.963,6.938,2.627,2.397,1.657,1.06,30.704,28.809,28.994,1
Poland,3.63,0.754,1349.806,80.04,78.916,9.267,9.776,11.543,0.44,0.261,-0.02,1.056,27.331,28.456,30.751,1
Portugal,3.099,0.743,364.023,83.67,92.311,10.039,9.843,11.65,-0.065,0.391,0.163,1.06,29.589,29.528,31.832,1
Puerto Rico,4.97,0.778,164.927,81.78,63.397,5.724,8.049,8.637,0.861,0.953,-0.26,1.053,27.535,26.505,28.79,2
Qatar,6.97,0.787,131.557,82.57,105.92,3.64,1.631,2.245,4.998,1.496,14.432,1.045,28.059,30.228,29.991,2
