Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
United States of America,68.71,69.67,70.11,70.37,71.42,73.25,74.38,74.9,75.65,76.48,77.17,78.16,78.88,1
Upper-middle-income countries,46.81,48.5,49.63,57.31,61.68,64.47,66.2,67.95,68.72,69.75,71.29,72.82,74.32,5
Uruguay,66.11,67.11,68.34,68.55,68.77,69.58,70.98,72.12,73.03,74.23,75.33,76.2,76.96,1
Uzbekistan,56.06,57.91,59.76,61.62,63.03,64,65.3,66.57,66.27,66.72,67.73,69.1,70.8,2
Vanuatu,41.94,44.94,47.95,50.94,53.8,56.78,59.79,61.93,64.21,66.42,68.36,69.99,71.36,5
Venezuela (Bolivarian Republic of),54.84,57.77,60.68,63.27,65.72,67.37,68.71,69.47,70.23,71.62,72.82,73.35,73.94,2
Viet Nam,53.51,57.27,60.49,62.33,57.76,66.11,68.06,69.79,71.23,72.65,73.8,74.69,75.56,2
Western Sahara,35.52,37.43,39.31,41.24,43.26,47.56,51.88,56.18,58.72,61.28,63.91,66.2,68.41,3
Yemen,34.7,34.7,34.71,39.13,43.28,48.07,53.03,56.76,58.6,59.83,61,62.75,64.17,3
Zambia,42.07,44.12,46.08,47.83,50.16,51.47,50.31,46.74,43.79,43.53,46.86,52.93,59.73,4
Zimbabwe,48.54,50.59,52.48,54.13,55.77,57.83,60.54,60.18,54.65,47.35,44.13,48.35,57.63,3
